code,tradeStatus,code_name,date,codenumber
sh.600162,1,香江控股,2023-09-21,600162
sh.600163,1,中闽能源,2023-09-21,600163
sh.600165,1,宁科生物,2023-09-21,600165
sh.600166,1,福田汽车,2023-09-21,600166
sh.600167,1,联美控股,2023-09-21,600167
sh.600168,1,武汉控股,2023-09-21,600168
sh.600169,1,太原重工,2023-09-21,600169
sh.600170,1,上海建工,2023-09-21,600170
sh.600171,1,上海贝岭,2023-09-21,600171
sh.600172,1,黄河旋风,2023-09-21,600172
sh.600173,1,卧龙地产,2023-09-21,600173
sh.600176,1,中国巨石,2023-09-21,600176
sh.600177,1,雅戈尔,2023-09-21,600177
sh.600178,1,东安动力,2023-09-21,600178
sh.600179,1,安通控股,2023-09-21,600179
sh.600180,1,瑞茂通,2023-09-21,600180
sh.600182,1,S*ST佳通,2023-09-21,600182
sh.600183,1,生益科技,2023-09-21,600183
sh.600184,1,光电股份,2023-09-21,600184
sh.600185,1,格力地产,2023-09-21,600185
sh.600186,1,莲花健康,2023-09-21,600186
sh.600187,1,国中水务,2023-09-21,600187
sh.600188,1,兖矿能源,2023-09-21,600188
sh.600189,1,泉阳泉,2023-09-21,600189
sh.600190,1,锦州港,2023-09-21,600190
sh.600191,1,华资实业,2023-09-21,600191
sh.600192,1,长城电工,2023-09-21,600192
sh.600193,1,创兴资源,2023-09-21,600193
sh.600195,1,中牧股份,2023-09-21,600195
sh.600196,1,复星医药,2023-09-21,600196
sh.600197,1,伊力特,2023-09-21,600197
sh.600198,1,大唐电信,2023-09-21,600198
sh.600199,1,金种子酒,2023-09-21,600199
sh.600200,1,江苏吴中,2023-09-21,600200
sh.600201,1,生物股份,2023-09-21,600201
sh.600202,1,哈空调,2023-09-21,600202
sh.600203,1,福日电子,2023-09-21,600203
sh.600206,1,有研新材,2023-09-21,600206
sh.600207,1,安彩高科,2023-09-21,600207
sh.600208,1,新湖中宝,2023-09-21,600208
sh.600210,1,紫江企业,2023-09-21,600210
sh.600211,1,西藏药业,2023-09-21,600211
sh.600212,1,绿能慧充,2023-09-21,600212
sh.600213,1,亚星客车,2023-09-21,600213
